train_time,loss,r2,rp
312.7182578059146,2.144773244857788,0.3776115179061889,0.6146873235702515
317.53772910207044,2.179715633392334,0.3674891591072082,0.6063093543052673
314.6372665219242,2.166325330734253,0.3713468313217163,0.6095657348632812
308.47014458396006,2.1479814052581787,0.3766732215881347,0.6139010190963745
315.58482153806835,2.169516324996948,0.370438814163208,0.6087122559547424
322.8997847150313,2.1551618576049805,0.3746079802513122,0.6121019124984741
317.0320711629465,2.1619462966918945,0.3726480007171631,0.610680341720581
318.3645425339928,2.175411939620972,0.3687345385551452,0.6073902249336243
308.96903508203104,2.143362045288086,0.3780313730239868,0.6149733066558838
315.9251692419639,2.1707375049591064,0.370059609413147,0.6084146499633789
