train_time,loss,r2,rp
192.2063755840063,2.267657518386841,0.3417029976844787,0.5847489833831787
188.72046694601886,2.276801109313965,0.3390326797962188,0.5824437141418457
188.6721750460565,2.2302069664001465,0.3525310754776001,0.5939544439315796
187.59499892301392,2.2302634716033936,0.3525481820106506,0.5941723585128784
186.12061792705208,2.22812557220459,0.3532341122627258,0.5945262312889099
188.32561314897612,2.2499327659606934,0.3468344807624817,0.5891249179840088
191.59016032202635,2.256270408630371,0.3450633883476257,0.5875862240791321
182.85183089401107,2.2195990085601807,0.3556970059871673,0.596718966960907
187.18564126908313,2.239531278610229,0.3498758673667907,0.591744065284729
187.9542175399838,2.265768051147461,0.3422516584396362,0.585415244102478
