train_time,loss,r2,rp
389.8057360299863,2.2546186447143555,0.3452440500259399,0.5879952907562256
388.63713358703535,2.267857551574707,0.3413779139518738,0.5848045945167542
391.68312724807765,2.2428810596466064,0.348658412694931,0.590826153755188
390.40211203100625,2.2659969329833984,0.3419444561004638,0.5850992202758789
387.88101451296825,2.279193639755249,0.338033527135849,0.5818608403205872
390.9576303730719,2.2910444736480717,0.3347100615501404,0.5789196491241455
393.32883337989915,2.265326976776123,0.3421116173267364,0.5852780342102051
387.0709416399477,2.245624542236328,0.3478431403636932,0.5903571844100952
396.10337684396654,2.256408452987671,0.3447263836860657,0.5875091552734375
394.49522422999144,2.3097848892211914,0.3292843401432037,0.5742455720901489
