train_time,loss,r2,rp
60.08094216091558,7.631659984588623,-1.2243422269821167,0.3738991916179657
55.445614852011204,7.833717346191406,-1.2824311256408691,0.3710982799530029
52.88224882702343,7.818289756774902,-1.278309345245361,0.3647260963916778
54.98872082517482,7.622025489807129,-1.2218668460845947,0.3714430928230285
56.18680791510269,7.8485870361328125,-1.2869746685028076,0.3640061914920807
57.247181244893,7.850407123565674,-1.287438154220581,0.3609904050827026
55.01943180710077,7.832914352416992,-1.2824262380599976,0.3667218089103699
55.774118705885485,7.823285102844238,-1.2796084880828855,0.3656484484672546
52.62708980101161,7.836391448974609,-1.2832040786743164,0.3735502958297729
57.1144620841369,7.826207160949707,-1.2802213430404663,0.3735451400279999
