train_time,loss,r2,rp
115.08157716598362,2.351879596710205,0.3173182904720306,0.5634796023368835
114.96262252202723,2.3563175201416016,0.3160504102706909,0.5625448226928711
116.9027293130057,2.3434669971466064,0.3197629451751709,0.5658508539199829
107.03367701498792,2.3279895782470703,0.3242295384407043,0.5696003437042236
116.99320720997639,2.33997106552124,0.3207308053970337,0.5667552947998047
111.50750161893666,2.3441691398620605,0.3195385038852691,0.5655152201652527
111.31347133696545,2.352691888809204,0.3170705437660217,0.5632922649383545
115.79844549996778,2.380988121032715,0.3088429570198059,0.5560736060142517
114.62075231107883,2.343014717102051,0.3199063539505005,0.5658726692199707
114.21609207591973,2.31860613822937,0.3269316554069519,0.5719894766807556
